City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,colares,38.7992,-9.4469,67.33,86,0,12.75,PT,1725841003
355,bel ombre,-4.6167,55.4167,78.89,86,70,19.46,SC,1725841004
356,merizo village,13.2658,144.6691,90.16,82,63,8.99,GU,1725841005
357,nanping,26.645,118.1736,78.35,88,15,1.81,CN,1725841006
358,kununurra,-15.7667,128.7333,85.98,45,91,5.75,AU,1725841007
359,nogliki,51.8333,143.1667,56.26,56,71,9.35,RU,1725841008
360,kruisfontein,-34.0033,24.7314,48.78,74,66,4.72,ZA,1725841009
361,luwuk,-0.9516,122.7875,77.2,81,83,7.02,ID,1725841010
362,price,39.5994,-110.8107,85.26,13,0,10.36,US,1725841011
363,newnham,-41.3833,147.1333,54.55,62,93,17.27,AU,1725841013
364,papao,-17.75,-149.55,82.08,65,23,21.74,PF,1725841014
365,alice springs,-23.7,133.8833,60.35,51,75,8.05,AU,1725841015
366,al jawf,29.5,38.75,80.11,33,0,6.53,SA,1725841016
367,metro,-5.1131,105.3067,76.84,82,79,3.18,ID,1725841017
368,as sulayyil,20.4607,45.5779,86.0,15,3,5.41,SA,1725841018
369,selfoss,63.9331,-20.9971,39.04,77,99,9.91,IS,1725841019
370,lahaina,20.8783,-156.6825,86.0,65,4,5.23,US,1725840775
371,bokoro,12.3807,17.0568,79.2,74,84,5.39,TD,1725841021
372,at taj,24.2049,23.2857,85.1,24,0,7.05,LY,1725841022
373,acaponeta,22.4964,-105.3594,87.08,72,19,5.19,MX,1725841023
374,christchurch,-43.5333,172.6333,60.91,59,62,2.3,NZ,1725841024
375,isla vista,34.4133,-119.861,98.78,44,8,16.08,US,1725841026
376,flekkefjord,58.2971,6.6607,59.83,95,100,4.68,NO,1725841027
377,port augusta,-32.5,137.7667,62.35,53,3,8.1,AU,1725840814
378,hithadhoo,-0.6,73.0833,82.35,73,74,7.11,MV,1725841029
379,kharp,66.8014,65.8081,39.15,86,99,6.62,RU,1725841030
380,sagua de tanamo,20.5819,-75.2414,80.01,87,49,3.71,CU,1725841031
381,alto barinas,8.5931,-70.2261,77.65,86,83,4.14,VE,1725841032
382,namibe,-15.1961,12.1522,62.71,88,69,7.85,AO,1725841033
383,kargasok,59.0556,80.8572,51.3,90,100,18.32,RU,1725841036
384,nuuk,64.1835,-51.7216,41.61,65,0,10.36,GL,1725840889
385,ciudad lazaro cardenas,17.9583,-102.2,83.43,78,62,2.66,MX,1725841038
386,kavieng,-2.5744,150.7967,82.87,76,78,15.08,PG,1725841039
387,gamba,-2.65,10.0,75.13,90,97,6.8,GA,1725841040
388,sisimiut,66.9395,-53.6735,36.84,73,4,8.72,GL,1725841041
389,san antonio de pale,-1.4014,5.6325,75.83,84,44,13.06,GQ,1725841042
390,n'zeto,-7.2312,12.8666,70.59,91,59,8.12,AO,1725841043
391,kapuskasing,49.4169,-82.4331,49.51,49,28,4.85,CA,1725841046
392,sittwe,20.15,92.9,82.4,85,100,12.53,MM,1725841047
393,dryden,49.7833,-92.7503,65.89,53,9,4.9,CA,1725841048
394,tobruk,32.0836,23.9764,79.25,71,0,8.16,LY,1725841049
395,uttarkashi,30.7333,78.45,63.61,79,52,4.03,IN,1725841050
396,qusmuryn,52.4503,64.6311,60.46,71,92,7.11,KZ,1725841051
397,paita,-5.0892,-81.1144,64.15,84,45,16.37,PE,1725841052
398,palmer,42.1584,-72.3287,57.22,74,20,0.0,US,1725841054
399,santa elena de uairen,4.6167,-61.1333,70.66,74,52,0.96,VE,1725841055
400,smara,26.7384,-11.6719,71.73,66,48,11.86,EH,1725841056
401,traverse city,44.7631,-85.6206,66.27,67,75,6.91,US,1725840964
402,sechura,-5.5569,-80.8222,65.89,75,40,17.81,PE,1725841058
403,codrington,-38.2667,141.9667,52.99,75,100,15.64,AU,1725841059
404,podborany,50.2294,13.4119,68.9,72,100,5.1,CZ,1725841060
405,takoradi,4.8845,-1.7554,74.16,87,19,6.08,GH,1725840922
406,al minya,28.1099,30.7503,83.07,48,54,15.41,EG,1725841062
407,tofol,5.3248,163.0078,83.98,74,100,3.44,FM,1725841063
408,tocoa,15.6833,-86.0,89.22,85,61,6.15,HN,1725841065
409,arkhangel'sk,64.5401,40.5433,55.51,100,0,4.47,RU,1725841066
410,paramonga,-10.6667,-77.8333,63.41,84,52,8.72,PE,1725841067
411,hammerfest,70.6634,23.6821,63.05,82,29,3.44,NO,1725841068
412,al hawatah,13.4167,34.6333,74.79,88,100,11.3,SD,1725841069
413,vila franca do campo,37.7167,-25.4333,70.21,99,34,5.41,PT,1725841070
414,dese,11.1333,39.6333,52.66,80,51,4.18,ET,1725841071
415,marble falls,30.5782,-98.2728,82.13,30,0,10.36,US,1725841072
416,oak hill,37.9723,-81.1487,54.36,51,0,1.81,US,1725841073
417,poshekhon'ye,58.4993,39.1353,54.14,83,2,3.4,RU,1725841074
418,sao joao da barra,-21.6403,-41.0511,73.49,87,0,16.06,BR,1725841076
419,thinadhoo,0.5333,72.9333,82.6,73,63,9.44,MV,1725841077
420,mili,6.0815,171.735,84.02,74,4,13.47,MH,1725841078
421,lysekil,58.2743,11.4358,69.04,76,97,12.48,SE,1725841079
422,ganta,7.3022,-8.5308,70.3,99,100,2.95,LR,1725841080
423,gavrilov posad,56.5597,40.1175,55.51,78,0,3.76,RU,1725841081
424,gisborne,-38.6533,178.0042,61.36,43,0,3.56,NZ,1725840789
425,las juntas,19.4167,-104.7,80.31,87,71,2.73,MX,1725841083
426,cromwell,41.5951,-72.6454,59.49,76,0,0.0,US,1725841084
427,horta,38.5333,-28.6333,71.02,84,38,8.99,PT,1725841085
428,shingu,33.7333,135.9833,82.36,71,0,7.27,JP,1725841087
429,vernon,50.2581,-119.2691,73.92,50,40,1.14,CA,1725841088
430,tamandare,-8.7597,-35.1047,73.24,88,30,12.35,BR,1725841089
431,marsala,37.7966,12.4352,82.35,89,40,14.97,IT,1725841090
432,sibolga,1.7427,98.7792,74.71,88,100,2.98,ID,1725841091
433,palangkaraya,-2.2,113.8333,79.16,87,86,0.89,ID,1725841092
434,flin flon,54.7682,-101.865,76.55,43,89,6.11,CA,1725840913
435,bodaybo,57.8506,114.1933,47.28,92,100,2.06,RU,1725841094
436,ulladulla,-35.35,150.4667,66.09,43,18,12.62,AU,1725841095
437,reggane,26.7158,0.1714,98.49,30,26,6.4,DZ,1725841096
438,kyosai,34.8503,128.5886,78.26,82,30,11.25,KR,1725840867
439,trincomalee,8.5711,81.2335,80.74,79,100,21.7,LK,1725841099
440,westerland,54.9079,8.3033,64.42,88,100,0.0,DE,1725840830
441,stornoway,58.2093,-6.3865,48.16,82,75,4.61,GB,1725841103
442,kingscliff,-28.2667,153.5667,75.0,73,40,5.75,AU,1725841104
443,shimoda,34.6667,138.95,82.76,72,0,8.68,JP,1725841105
444,an nuhud,12.7,28.4333,80.71,65,94,4.16,SD,1725841106
445,banjarmasin,-3.3244,114.591,79.83,83,100,1.23,ID,1725841108
446,south venice,27.0531,-82.4243,86.99,80,91,1.54,US,1725841109
447,dazhou,31.2159,107.5009,81.99,66,4,2.8,CN,1725841110
448,ascension,30.2169,-90.9001,82.4,70,0,4.61,US,1725841111
449,staroderevyankovskaya,46.1276,38.9674,67.32,47,69,14.63,RU,1725841112
450,aquidauana,-20.4711,-55.7872,86.74,18,35,3.56,BR,1725841047
451,luanda,-8.8368,13.2343,69.8,88,22,2.3,AO,1725841114
452,byron bay,-28.65,153.6167,73.31,72,11,11.1,AU,1725841115
453,val-d'or,48.1002,-77.7828,44.69,93,100,11.5,CA,1725841068
454,dori,14.0354,-0.0345,82.56,68,51,8.19,BF,1725841096
455,conception bay south,47.4999,-52.9981,68.56,95,100,9.64,CA,1725840895
456,udomlya,57.8794,34.9925,54.64,81,19,3.83,RU,1725841121
457,susuman,62.7833,148.1667,45.03,71,71,0.98,RU,1725841122
458,kushiro,42.975,144.3747,76.15,60,20,8.05,JP,1725841123
459,howard springs,-12.497,131.047,84.11,69,49,10.67,AU,1725841124
460,katsuura,35.1333,140.3,81.57,81,0,7.61,JP,1725841125
461,boca suno,-0.7167,-77.1333,76.55,79,50,2.35,EC,1725841127
462,ippy,6.2679,21.2247,69.42,97,50,2.06,CF,1725841128
463,tobol'sk,58.2,68.2667,51.58,98,43,7.92,RU,1725841129
464,turpan,42.9333,89.1667,68.68,25,0,5.53,CN,1725841130
465,kaitong,44.8135,123.15,68.68,80,34,17.87,CN,1725841131
466,fortuna,40.5982,-124.1573,66.97,94,0,11.5,US,1725841132
467,shitanjing,39.2342,106.3439,60.01,53,100,9.1,CN,1725841133
468,la foa,-21.7108,165.8276,75.72,48,9,3.11,NC,1725841134
469,yurty,56.0498,97.6348,47.44,94,100,10.33,RU,1725841135
470,kuanda,56.3161,116.0806,47.1,91,100,6.51,RU,1725841138
471,cam ranh,11.9214,109.1591,87.76,62,0,3.44,VN,1725841139
472,savannakhet,16.566,104.751,80.62,89,75,2.3,LA,1725841140
473,taro,-8.3862,115.28,72.84,87,41,1.36,ID,1725841141
474,dzilam gonzalez,21.2833,-88.9333,88.23,59,98,5.41,MX,1725841143
